Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial,CouncilDistrict
B01221899-S1,BROOKLYN,,11/3/2025,11/4/2025,0,3/8/2026,59.0,,Permit Entire,3067081,301,40.72341,-73.9448,630,HUMBOLDT STREET,3,2686,55,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,33
B01297062-I1,BROOKLYN,,11/3/2025,11/4/2025,0,5/25/2026,70.0,,Permit Entire,3089182,305,40.67323,-73.88523,2358,PITKIN AVENUE,3,4015,22,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,42
B01307074-I1,BROOKLYN,,11/3/2025,11/4/2025,0,5/10/2026,50.0,,Permit Entire,3041069,316,40.68126,-73.9166,161,SARATOGA AVENUE,3,1515,1,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,41
B01307377-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/29/2026,20.0,,Permit Entire,3153541,310,40.62176,-74.02722,454,86 STREET,3,6045,27,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01307379-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/29/2026,20.0,,Permit Entire,3153542,310,40.62172,-74.02717,456,86 STREET,3,6045,28,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,47
B01309467-I1,BROOKLYN,,11/3/2025,11/4/2025,0,11/3/2026,214.0,,Permit Entire,3100931,317,40.65576,-73.9277,855,LENOX ROAD,3,4640,30,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,41
B01309574-I1,BROOKLYN,,11/3/2025,11/4/2025,0,11/3/2026,400.0,,Permit Entire,3335988,306,40.68853,-73.99855,101,WARREN STREET,3,300,7501,Always Fast Services Corp,1,DOB NOW,Construction or Maintenance,Other Zoning Districts,39
B01311864-I1,BROOKLYN,,11/3/2025,11/4/2025,0,10/6/2026,35.0,,Permit Entire,3070976,301,40.70864,-73.94372,193,GRAHAM AVENUE,3,3043,19,BANGASH ASSOCIATES INC.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,34
B01312100-I1,BROOKLYN,,11/3/2025,11/4/2025,0,9/15/2026,29.0,,Permit Entire,3007541,306,40.68065,-73.99648,373,COURT STREET,3,449,6,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay,39
M01258029-I1,MANHATTAN,,11/3/2025,11/4/2025,0,9/21/2026,74.0,,Permit Entire,1031141,107,40.78258,-73.97192,7,WEST   81 STREET,1,1195,29,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Local Law 11,Other Zoning Districts,06
